job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003008738018,ADMINISTRATION ASSISTANT,Marigold International Financial Group Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Middle,2 years,Non-Degree Tertiary,Five-day work week
100003008739050,FINANCE MANAGER,Bonaventure Properties Ltd,"Accounting, Finance / Accounting Manager","Full Time, Permanent",,Senior,8 years,Degree,
100003008738216,Accountant,Shougang Concord Grand (Group) Limited,"Accounting, Accountant, Audit, Others",Full Time,,Middle,2 years,Degree,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week"
100003008739734,Project Executive - Social Media / Digital Marketing,Rabbit Studio Limited,"Media & Advertising, Editorial / Journalism, Marketing / Public Relations, Marketing - Marketing Communication, Public Relations - Copy-writing",Full Time,,Entry Level,N/A,Degree,"Medical insurance, Five-day work week, Flexible working hours"
100003008734203,Customer Service Officer,Hilti (HK) Ltd,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Others, Student / Fresh Graduate / No Experience","Full Time, Permanent",,Entry Level,1 year,Degree,"Dental insurance, Education allowance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus"
100003008740113,Administrative Assistant - Transcription Services,"EPIQ Hong Kong, Limited","Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,2 years,Postgraduate,"Life insurance, Medical insurance, Five-day work week"
100003008739092,Receptionist and Administration Assistant,On Stage Production and Consultant Limited,"Admin & HR, Clerical / Admin Staff, Marketing / Public Relations, Public Relations - General / Support","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Medical insurance, Performance bonus, Five-day work week"
100003008738153,Administration Officer,Hong Kong Logistics Association,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,1 year,Non-Degree Tertiary,Five-day work week
100003008738861,Production Assistant (Internship),The Garage Limited,"Media & Advertising, Others","Part Time, Internship, Freelance",,,,,
100003008740197,Administrative Clerk - 行政文員,Hazedawn Limited,"Admin & HR, Clerical / Admin Staff, Receptionist, Others",Full Time,,Entry Level,,School Certificate,Five-day work week
100003008738073,Video Editor (Part-time/Freelance),The Garage Limited,"Media & Advertising, Creative / Design, Production, Photography / Video","Part Time, Temporary, Internship, Freelance",,,1 year,Non-Degree Tertiary,
